Date,Open,High,Low,Volume,Close
5/7/1999,3.51875,3.6,3.275,333080000,3.409375
5/10/1999,3.415625,3.675,3.35,284824000,3.671875
5/11/1999,3.767188,3.846875,3.6,278828000,3.709375
5/12/1999,3.701563,3.715625,3.5375,146548000,3.573438
5/13/1999,3.609375,3.696875,3.4,229980000,3.4
5/14/1999,3.328125,3.36875,3.245313,225336000,3.309375
5/17/1999,3.25,3.45,3.0375,417164000,3.440625
5/18/1999,3.410938,3.4375,3.273438,248156000,3.315625
5/19/1999,3.348438,3.490625,3.3375,252384000,3.489063
5/20/1999,3.41875,3.45,3.2625,137880000,3.270313
5/21/1999,3.26875,3.3,3.14375,160112000,3.214063
5/24/1999,3.215625,3.234375,2.9,285076000,2.9375
5/25/1999,2.93125,3.028125,2.784375,310204000,2.789063
5/26/1999,2.829688,3.046875,2.6125,423172000,3.023438
5/27/1999,2.990625,3.014063,2.85,271468000,2.864063
5/28/1999,2.890625,3.009375,2.8,193604000,2.96875
6/1/1999,2.7875,2.8375,2.624609,401528000,2.645313
6/2/1999,2.61875,2.875,2.428125,738128000,2.803125
6/3/1999,2.848438,2.8625,2.6125,346232000,2.626563
6/4/1999,2.640625,2.75,2.540625,389836000,2.710938
6/7/1999,2.714063,2.996875,2.7,338028000,2.934375
6/8/1999,3,3.034375,2.759375,276888000,2.789063
6/9/1999,2.848438,2.8625,2.74375,178084000,2.85
6/10/1999,2.796875,2.953125,2.753125,254212000,2.898438
6/11/1999,2.878125,2.925,2.61875,277732000,2.645313
6/14/1999,2.598438,2.6125,2.24375,415292000,2.3
6/15/1999,2.30625,2.49375,2.265625,366188000,2.4125
6/16/1999,2.532813,2.825,2.525,434144000,2.792188
6/17/1999,2.790625,2.978125,2.740625,380828000,2.823438
6/18/1999,2.798438,2.8625,2.7375,159440000,2.782813
6/21/1999,2.839063,3.089063,2.79375,324544000,3.0875
6/22/1999,3.079688,3.2375,2.9125,334588000,2.9375
6/23/1999,2.889063,3.032813,2.803125,328596000,2.94375
6/24/1999,2.953125,2.970313,2.825,167104000,2.840625
6/25/1999,2.910938,2.9375,2.703125,195036000,2.754688
6/28/1999,2.775,2.796875,2.560938,337436000,2.767188
6/29/1999,2.75625,2.95625,2.71875,312960000,2.901563
6/30/1999,2.9125,3.23125,2.875,338124000,3.128125
7/1/1999,3.13125,3.1625,2.95,287656000,3.059375
7/2/1999,3.08125,3.15,3.01875,144168000,3.101563
7/6/1999,3.2,3.332813,3.1375,297724000,3.171875
7/7/1999,3.153125,3.1875,3,199760000,3.046875
7/8/1999,3.140625,3.1875,3.032813,212488000,3.134375
7/9/1999,3.153125,3.19375,3.101563,111636000,3.1375
7/12/1999,3.125,3.1375,2.9,213064000,2.934375
7/13/1999,2.90625,3.179688,2.875,409064000,3.153125
7/14/1999,3.184375,3.375,3.145313,388072000,3.375
7/15/1999,3.375,3.5375,3.334375,455260000,3.489063
7/16/1999,3.46875,3.5625,3.403125,205948000,3.440625
7/19/1999,3.4,3.415625,3.2875,188768000,3.292188
7/20/1999,3.228125,3.234375,3.001563,344436000,3.003125
7/21/1999,3.025,3.20625,3.00625,342688000,3.135938
7/22/1999,2.910938,2.928125,2.61875,1150944000,2.670313
7/23/1999,2.745313,2.86875,2.579688,601612000,2.864063
7/26/1999,2.760938,2.8875,2.625,612552000,2.648438
7/27/1999,2.725,2.759375,2.503125,475396000,2.525
7/28/1999,2.549609,2.653125,2.490625,515672000,2.64375
7/29/1999,2.559375,2.609375,2.5,374960000,2.539063
7/30/1999,2.553125,2.56875,2.4375,241140000,2.501563
8/2/1999,2.459375,2.553125,2.348438,339356000,2.35
8/3/1999,2.425,2.425,2.240625,582780000,2.371875
8/4/1999,2.34375,2.409375,2.2,448228000,2.210938
8/5/1999,2.189063,2.45,2.05,750340000,2.43125
8/6/1999,2.415625,2.4875,2.23125,424376000,2.239063
8/9/1999,2.2875,2.2875,2.114063,260828000,2.1375
8/10/1999,2.134375,2.304688,2.05,463900000,2.275
8/11/1999,2.309375,2.38125,2.129688,513100000,2.273438
8/12/1999,2.275,2.39375,2.234375,262816000,2.29375
8/13/1999,2.375,2.435938,2.353125,215696000,2.435938
8/16/1999,2.45625,2.521875,2.3875,255064000,2.457813
8/17/1999,2.5125,2.7375,2.496875,473376000,2.73125
8/18/1999,2.878125,2.9375,2.8125,568308000,2.828125
8/19/1999,2.76875,2.779688,2.628125,365700000,2.653125
8/20/1999,2.65625,2.839063,2.628125,285624000,2.835938
8/23/1999,2.898438,3.0125,2.89375,384120000,2.959375
8/24/1999,2.9,3.1375,2.898438,500200000,3.001563
8/25/1999,3.070313,3.325,3.0375,418828000,3.321875
8/26/1999,3.325,3.389063,3.1875,384884000,3.214063
8/27/1999,3.2625,3.263281,3.125,258456000,3.2125
8/30/1999,3.189063,3.25,2.946875,369888000,2.98125
8/31/1999,2.959375,3.117188,2.804688,655848000,3.109375
9/1/1999,3.175,3.175,2.9375,439232000,2.976563
9/2/1999,2.875,3.096875,2.86875,336774000,3.003125
9/3/1999,3.18125,3.2,3.03125,328718000,3.121875
9/7/1999,3.190625,3.21875,3.10625,180174000,3.146875
9/8/1999,3.1,3.1625,3.046875,139520000,3.071875
